doc_id,text,sentiment
1,"loved stayed jurys 1st november 5th 2006 thought hotel excellent, staff friendly helpful, room quiet big clean, beds comfortable got good nights sleep, hotel close shopping areas restaurants staff helpful guiding shopping areas, excellent hotel organised bus bring shopping outlet wrentham.staying jurys boston trip boston enjoyable,",positive
2,"small touches make hotel speacial cartright hotel small little touches set apart hotels, happy hour complimentary wine freshly baked cookies afternoon free free tea coffee 24 hours not mention good breakfast provide complimentary yummy waffle machine sweet tooth, hotel definitely worth staying, rooms small cosy beds comfortable, room stayed great walk robe fantastic lot luggage, bathroom tiny really spend small time day, hotel hidden treasure,",positive
3,"loved, second time life stayed punta cana grand palladium.we love start tell loved time trip 2 weeks honeymoon surpassed expectations.food food resort wonderful, time did not use a-la-carts not food service type people like eat hungry, plus book beginning week time like not like 9 night just did n't know feel like eating types nights, fact 3 vouchers dinners, want use pool husband took really long walk beach day infact, sure bring sunscreen slather, got little toasted usually don__Ç_é_ feel heat, advise walk entire beach day look resorts know just bang buck getting, pools nice shallow lane type swimming, way sure right pool, funny tend linger swim bar met canadians americans figure, bonding beer.drinks beware weak tummy tend use actual fruit drinks natural sugar sugar cane use make drinks make little queasy, did happen particularly good not bad sweet tooth order cope-a-cabana, yellow slick pineapple make slushy stuff, tastes little like pina-colada better service people awesome, wish home, bar staff drink ready time walked bar guess drank help spanish repeating order spanish nice little touch.reception check little rough bus driver dropped wrong reception 3 total no problem called bell hop no charge kept apologizing took little trolley free correct, soon arrived took nice little room fruit basket bottle rum bed special honeymooners, complaint time apparently honeymooners receive special dinner beach candle lit etc.etc.etc, written pamphlet language english, going just ask night, apparently seafood nice people met wisconsin said just loved it.out check speedy plus checked little soon sit lobby bar enjoy minute cocktails prior departure, careful ask want bag wrapped just stick machine shrink-wrap__Ç_é_ sort dumb charge, personally don__Ç_é_ recommend cuz really going bag going tossed bad damaged think layer plastic n't going thing.shopping tons little shops resort shopping pick souvenirs really want good deal don__Ç_é_ mind bargaining head shops beach, personally love stone can__Ç_é_ remember called teal colour pretty, shops resort necklaces run 50- 150, guys beach start 50 100 literally got guy 10 necklaces matching earrings, careful fake stones real ones lighter dont melt, shop guys sell real ones, just little hint don__Ç_é_ don__Ç_é_ buy it.room trip no problem trip jets kept shutting people resort attempted fix started acting night moved room balcony overlooking water soooooo beautiful, kept getting apologies ying yang no problem, broke tried fix n't moved better room, wonderful recommend bon voyage,",positive
4,"impeccable simply impeccable stayed hotel week year experience amazing, staff highly trained ready meet requests drop hat, try calling desk asking extra pillows..you literally hear knock door minutes later, breakfast buffet best freshest fruits, enjoy cup tea end night lobby lounge enjoy fantastic view harbor..it breathtaking, spoon great restaurant probably favorite order set dinner menu..you wo n't disappointed definately stuffed end, yu great fish heard close soon nobu moving, ohh, gym workout fanatics incredible minute step machine bring towel bottle water..the spa great, ask judy great deep tissue massage, hope helps seriously best hotel hong kong locals agree,",positive
5,"great hotel not far christmas market came frankfurt weekend break visit christmas markets, hotel 15 mins walk market 1 min walk nearest underground station, location not better.the room 4th floor nice, like having separate shower, english channels tv good, thing lacked picky iron ironing board sure got asked.we didnt breakfast expensive fussy eater rarely money worth buffet..the negative place asian bar, quite smoky pleased if/when ban smoking bars hate smell smoke.if frankfurt no hesitation staying recommending,",positive
6,"fantastic booked hotel/apartment fit needed relaxing break husband.the apartments advertised luxuary apartments not disappointed, booked studio apartment pleasantly surprised size apartment did worry just going box like european accomodation did not feel point needed extra space- 5 nights, apartment walk-in wardrobe big bedroom apartment wonderful decorated contempory-chic mod-cons i.e, lcd tv dvd player hob microwave oven coffee filter machine safe cleaned daily mentioned reviews shower/bathroom absolutely fantastic location apartments located 10mins walk s-bann stop 5mins walk major shopping streets, surrounded numorous eateries-greek italian chinese vietnamese thai mention bakeries delicatessens supplying fresh breads/desserts/cakes/cheeses/hams s-bann close relatively easy getting plane s-bann station airport straight stop money cost apartment not budget traveller affordable approx night, compared hotel deals consider getting money actually quite good deal, entertainment time year type trip wanted did n't really partying evenings quite happy spending evenings nearby restaurants enjoying lovely meal, nearby public transport links able sightseeing wanted not left thinking missed anything.would recommend staying, definitely yes,",positive
7,"heaven earth all- inclusive holiday know excellence set bar holidays, knew special soon greeted flute champagne, luggage arrived beautiful room expeditiously met welcome beautiful smiles stay nothing trouble staff way make feel important magical completely memorable, thanks housekeeping staff room 11111. incredible rooms kept spotless having special touches chocolates pillow fresh flowers room fridge stocked clean towels abundance bar staff truly incredible noteworthy thanks rudy benjamin louis going extra mile cheerful helped make holiday amazing, absolutely thank daniel sports section went amazing bike ride villages feel true dominican life sam sandie bc.canada say thanks especially daniel lucas want play tennis book lucas superb fabulous instruction really great game tennis 20us, daniel ready game ping pong pool, ricardo pool brilliant definitely suggest join poolside games ordinarily not thinking doing this.. not meet ricardo meet vacationers makes fun prizes won immense fun thanks sonya canada cheer leader extraordinaire, ricardo teaches spanish lessons hola no entiendo, not say restaurants service food, lovely not limited la carte restaurants inclusives, not need make reservations restaurant choice staff beeper sit friendly bars await turn.. brilliantly favourites chez isabelle thanks jady continually excellent.. jennifer spice manny toscana met making pizzas day help make hotel waitress grill children absolutely lovely saddened escapes friendly hello dave wife ohio jim patty virginia ordinarily fabulous couples met bike ride daniel, guys rode years gin tonic slipped easily ride thanks louis.we suggest book tour two.. really dominican life best photo opportunities really wanted safari fully booked not happening day ensure book early, horse rode rode fours tremendous, shows night attended applause loved staff great atmosphere lovely wind marvellous meal, definitely stock american dollars safe room invaluable not necessary say boy long way know service amazing staff mentioned did incredible job attention enjoying stay measure stocked school supplies candy went villages children run meet expectation appreciated, left dollars stickers maids continually appreciation, mosquitoes thing annoying mosquito repellent know evening come bother stung, did melarone expensive no effects reported cases malaria dominican taking anti-malarials wanted cautious read reviews hand, said inclusive sam completely hooked, excellence recommend heart beat bereft leave truly paradise earth, thank excellence making stay special, staff help hotel incredible,",positive
8,"heavenly bed wonderful, stayed westin times square thanksgiving week, greathotel perfect location, rooms clean staff conceirge hepful needs, beds die, problem waking morning, beds did not want, willdefinately stay westin times square, oh make sure visit roxy best cheesecake, just right corner, great hotel great location great prices,",positive
9,"marco polo stayed stop tour mexico, really loved hotel, penthouse suites worth extra money, large comfortable, bathroom amazing glass ceiling views reforma.the staff lovely helpful directions making phone calls us.you ca n't beat ease taxi stand, guys great need go.overall n't think better mexico city,",positive
10,"great time family inclusive vacation, expected, food great activities plenty plenty sunshine, minor complaint length time took book la carte meals, certainly recommend, vermont,",positive
