"Gender","Customer.Type","Age","Class","Flight.Distance","Inflight.wifi.service","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Baggage.handling","Checkin.service","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"Female","disloyal Customer",36,"Business",666,2,2,4,3,2,3,3,5,5,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Eco",1096,3,3,3,3,4,3,2,2,2,1,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Eco",423,2,2,1,2,2,4,2,4,5,5,3,20,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Eco",602,4,4,2,4,3,4,3,2,4,4,171,172,"satisfied"
"Female","disloyal Customer",34,"Business",328,3,3,3,5,3,5,5,3,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Business",3086,2,2,1,3,3,3,2,2,2,4,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",30,"Eco Plus",2762,2,2,3,5,2,5,5,2,4,3,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Eco Plus",680,5,5,2,5,5,5,5,4,4,2,0,3,"satisfied"
"Female","Loyal Customer",48,"Eco Plus",2092,2,2,2,2,3,3,2,2,2,1,37,38,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Eco Plus",447,2,2,2,1,2,1,1,3,5,2,25,14,"satisfied"
"Male","Loyal Customer",24,"Eco",948,2,2,4,1,2,1,1,1,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",64,"Eco",1107,3,2,3,5,5,4,4,4,4,3,15,23,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business",216,5,4,5,5,5,4,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",32,"Eco",163,3,3,3,5,3,5,5,4,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Eco Plus",507,1,1,3,5,1,5,5,5,5,5,19,23,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business",854,1,2,2,3,4,3,1,1,1,4,94,94,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business",2940,3,1,1,3,4,3,3,3,3,4,16,13,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Eco",647,2,2,5,1,2,1,1,5,5,4,48,45,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Eco Plus",449,1,2,2,1,1,1,1,4,3,3,23,26,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Eco",928,3,3,3,2,3,2,2,1,3,4,37,30,"neutral or dissatisfied"
"Male","disloyal Customer",24,"Eco",446,2,2,3,2,2,1,2,1,3,1,51,66,"neutral or dissatisfied"
"Male","Loyal Customer",42,"Business",3664,5,5,5,3,4,4,5,5,5,4,0,5,"satisfied"
"Female","disloyal Customer",30,"Eco",826,3,3,4,2,3,1,2,2,4,3,1,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",3165,2,2,2,2,4,4,5,5,5,4,50,47,"satisfied"
"Female","disloyal Customer",22,"Eco",551,1,1,2,5,1,5,5,3,5,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Eco",101,5,4,4,5,5,5,5,4,2,5,4,6,"satisfied"
"Male","Loyal Customer",56,"Eco",383,0,0,3,5,0,5,5,5,4,4,0,0,"satisfied"
"Male","Loyal Customer",48,"Business",3234,1,1,1,5,5,4,4,4,4,3,15,7,"satisfied"
"Male","Loyal Customer",36,"Business",1600,3,4,4,2,4,4,3,3,3,2,18,11,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Eco Plus",1953,2,3,3,2,3,1,2,3,4,4,0,9,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business",1754,1,1,1,2,4,5,5,5,5,5,0,5,"satisfied"
